------------------------------------------------------------------- 
Name: 23 
Date: 2018-04-13 
Number of Terminations: 31 
Number of Bifurcations: 86 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminations : 
------------------------------------------------------------------- 
X          Y     Angle 
263 	  28 	 -0.52 
196 	  32 	 0.00 
168 	  43 	 3.14 
176 	  57 	 -0.52 
223 	  68 	 2.09 
168 	  69 	 -0.52 
162 	  70 	 3.14 
229 	  71 	 -1.05 
131 	  76 	 0.52 
125 	  79 	 -2.62 
135 	  81 	 0.52 
128 	  86 	 -2.62 
134 	  87 	 0.00 
148 	  91 	 -2.62 
162 	  91 	 0.00 
 60 	 100 	 0.79 
200 	 103 	 3.14 
 58 	 111 	 0.79 
147 	 111 	 3.14 
209 	 111 	 -1.05 
 54 	 127 	 1.05 
 93 	 134 	 -2.36 
128 	 138 	 -2.62 
188 	 151 	 2.62 
123 	 160 	 -2.09 
 51 	 162 	 1.05 
 49 	 180 	 1.05 
 49 	 193 	 1.05 
 52 	 215 	 1.05 
 52 	 240 	 0.79 
 43 	 247 	 3.14 
------------------------------------------------------------------- 
Bifurcations : 
------------------------------------------------------------------- 
X          Y     Angle 1     Angle 2    Angle 3 
115 	  15 	 3.14 	 	 NaN 	 	 0.79 
223 	  18 	 3.14 	 	 NaN 	 	 -0.52 
117 	  21 	 -2.62 	 	 2.09 	 	 -0.52 
162 	  21 	 3.14 	 	 1.57 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
151 	  22 	 3.14 	 	 1.57 	 	 0.00 
230 	  23 	 2.36 	 	 -1.57 	 	 0.00 
110 	  24 	 -2.62 	 	 1.57 	 	 0.00 
201 	  24 	 2.62 	 	 1.05 	 	 -0.79 
173 	  29 	 3.14 	 	 1.57 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
 96 	  38 	 -2.36 	 	 2.09 	 	 0.52 
163 	  39 	 2.62 	 	 -1.57 	 	 0.79 
179 	  39 	 2.62 	 	 -2.09 	 	 0.00 
107 	  41 	 -2.36 	 	 1.57 	 	 0.00 
 89 	  49 	 -2.36 	 	 1.57 	 	 0.00 
175 	  49 	 -2.62 	 	 1.57 	 	 -0.52 
135 	  59 	 2.62 	 	 -2.09 	 	 0.52 
171 	  62 	 -2.62 	 	 1.57 	 	 -0.52 
 83 	  63 	 2.36 	 	 -2.36 	 	 0.52 
254 	  64 	 3.14 	 	 0.79 	 	 -0.79 
 78 	  67 	 -2.62 	 	 2.09 	 	 0.52 
 93 	  72 	 -2.62 	 	 2.09 	 	 0.00 
209 	  77 	 3.14 	 	 0.79 	 	 -0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
259 	  92 	 2.36 	 	 -1.57 	 	 0.00 
266 	  99 	 3.14 	 	 1.05 	 	 -1.05 
149 	 104 	 3.14 	 	 -1.05 	 	 0.52 
124 	 105 	 -2.62 	 	 0.79 	 	 -0.79 
 88 	 113 	 -2.36 	 	 2.09 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
231 	 129 	 3.14 	 	 1.57 	 	 -0.79 
225 	 130 	 2.09 	 	 -1.05 	 	 0.00 
267 	 137 	 3.14 	 	 1.57 	 	 -0.79 
