------------------------------------------------------------------- 
Name: 14 
Date: 2018-04-13 
Number of Terminations: 32 
Number of Bifurcations: 102 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminations : 
------------------------------------------------------------------- 
X          Y     Angle 
 89 	  25 	 1.05 
139 	  30 	 0.52 
 78 	  44 	 1.05 
168 	  54 	 3.14 
176 	  55 	 0.00 
 74 	  59 	 0.79 
NaN 	 NaN 	 NaN 
148 	  64 	 0.00 
 75 	  67 	 0.79 
 75 	  75 	 0.52 
247 	  76 	 1.57 
 93 	  78 	 0.79 
NaN 	 NaN 	 NaN 
NaN 	 NaN 	 NaN 
 62 	 114 	 1.05 
 63 	 124 	 1.05 
185 	 135 	 -1.05 
 59 	 152 	 1.05 
142 	 161 	 -2.62 
 58 	 168 	 1.05 
 59 	 180 	 1.05 
172 	 190 	 -1.05 
 61 	 191 	 1.57 
154 	 197 	 -2.09 
 64 	 200 	 1.05 
 75 	 214 	 -2.36 
 64 	 218 	 0.79 
 66 	 249 	 0.79 
 48 	 253 	 -0.79 
NaN 	 NaN 	 NaN 
 68 	 260 	 0.79 
 58 	 266 	 2.62 
------------------------------------------------------------------- 
Bifurcations : 
------------------------------------------------------------------- 
X          Y     Angle 1     Angle 2    Angle 3 
209 	  14 	 2.62 	 	 NaN 	 	 -0.52 
 99 	  19 	 3.14 	 	 NaN 	 	 -0.79 
119 	  19 	 3.14 	 	 NaN 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
205 	  27 	 3.14 	 	 1.57 	 	 -0.52 
 99 	  28 	 -2.62 	 	 1.05 	 	 -0.79 
102 	  34 	 -2.36 	 	 1.57 	 	 0.00 
207 	  44 	 3.14 	 	 1.57 	 	 -0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
211 	  55 	 2.62 	 	 -2.09 	 	 0.00 
241 	  56 	 3.14 	 	 -1.05 	 	 0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
122 	  61 	 2.62 	 	 -1.57 	 	 0.52 
154 	  66 	 3.14 	 	 1.57 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
224 	  69 	 2.62 	 	 -2.36 	 	 -0.52 
183 	  73 	 2.62 	 	 -2.09 	 	 0.00 
119 	  74 	 -2.62 	 	 -1.05 	 	 0.79 
191 	  75 	 2.62 	 	 -2.09 	 	 0.00 
181 	  79 	 3.14 	 	 1.57 	 	 -0.52 
188 	  81 	 3.14 	 	 1.57 	 	 -0.52 
205 	  81 	 3.14 	 	 1.57 	 	 -0.79 
280 	  84 	 3.14 	 	 1.57 	 	 -0.52 
 93 	  86 	 -2.62 	 	 0.79 	 	 -0.79 
265 	  87 	 2.62 	 	 -2.09 	 	 0.00 
 98 	  91 	 2.36 	 	 -2.36 	 	 0.52 
205 	  91 	 2.62 	 	 0.79 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
173 	  94 	 -2.62 	 	 2.09 	 	 -0.52 
211 	  96 	 2.62 	 	 0.79 	 	 -0.79 
 72 	  98 	 2.62 	 	 -1.57 	 	 0.52 
256 	 101 	 2.36 	 	 -2.09 	 	 0.00 
272 	 104 	 3.14 	 	 -1.05 	 	 -0.52 
252 	 106 	 3.14 	 	 -1.57 	 	 0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
 67 	 108 	 -2.62 	 	 1.57 	 	 -0.79 
233 	 111 	 2.36 	 	 -1.05 	 	 0.52 
162 	 115 	 3.14 	 	 1.57 	 	 0.00 
 88 	 119 	 -2.36 	 	 1.57 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
250 	 123 	 2.36 	 	 -1.57 	 	 0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
 82 	 127 	 -2.36 	 	 1.57 	 	 -0.52 
261 	 127 	 -2.62 	 	 2.09 	 	 -0.52 
 98 	 129 	 2.36 	 	 -2.36 	 	 0.52 
269 	 129 	 3.14 	 	 1.05 	 	 -0.79 
 87 	 131 	 2.36 	 	 -2.09 	 	 0.79 
245 	 131 	 -2.62 	 	 2.09 	 	 -0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
250 	 138 	 3.14 	 	 1.57 	 	 -1.05 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
256 	 153 	 3.14 	 	 2.09 	 	 -0.79 
 74 	 158 	 -2.36 	 	 1.57 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
 68 	 166 	 -2.36 	 	 1.05 	 	 -0.52 
177 	 170 	 2.62 	 	 1.05 	 	 -0.79 
 77 	 179 	 2.62 	 	 -2.09 	 	 1.05 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
 67 	 182 	 -2.36 	 	 1.05 	 	 0.00 
 73 	 185 	 2.36 	 	 -2.09 	 	 0.79 
152 	 188 	 2.36 	 	 -2.09 	 	 0.00 
251 	 189 	 3.14 	 	 2.09 	 	 -0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
118 	 200 	 2.09 	 	 -2.09 	 	 0.52 
219 	 201 	 -2.36 	 	 1.57 	 	 -0.79 
246 	 202 	 3.14 	 	 -1.57 	 	 0.79 
 78 	 207 	 3.14 	 	 1.05 	 	 -0.52 
123 	 209 	 -2.36 	 	 1.57 	 	 -0.52 
229 	 210 	 -2.62 	 	 1.57 	 	 0.00 
 68 	 211 	 2.09 	 	 -1.57 	 	 0.52 
129 	 211 	 3.14 	 	 -1.57 	 	 1.05 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
243 	 213 	 -2.36 	 	 1.57 	 	 -0.79 
193 	 215 	 2.09 	 	 -2.09 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
257 	 221 	 3.14 	 	 -2.09 	 	 0.00 
145 	 222 	 -2.36 	 	 2.09 	 	 -0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
151 	 224 	 3.14 	 	 -1.57 	 	 0.79 
 85 	 225 	 -2.62 	 	 1.57 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
244 	 228 	 2.09 	 	 -2.09 	 	 0.00 
251 	 228 	 3.14 	 	 -1.57 	 	 0.79 
112 	 232 	 2.62 	 	 0.00 	 	 -0.52 
 75 	 239 	 -2.62 	 	 1.57 	 	 0.00 
 91 	 240 	 -2.36 	 	 1.57 	 	 -0.52 
246 	 240 	 2.36 	 	 -2.09 	 	 0.00 
252 	 240 	 3.14 	 	 1.57 	 	 -0.79 
110 	 241 	 3.14 	 	 -1.57 	 	 0.79 
242 	 257 	 2.36 	 	 -2.09 	 	 0.52 
204 	 258 	 -2.36 	 	 1.57 	 	 -0.79 
250 	 262 	 3.14 	 	 1.57 	 	 -0.79 
232 	 263 	 3.14 	 	 1.05 	 	 -0.79 
244 	 263 	 2.36 	 	 -2.36 	 	 0.52 
 85 	 271 	 -2.36 	 	 1.05 	 	 -0.52 
170 	 276 	 -2.36 	 	 1.05 	 	 -0.79 
237 	 279 	 3.14 	 	 1.57 	 	 -0.79 
