------------------------------------------------------------------- 
Name: 16 
Date: 2018-04-13 
Number of Terminations: 27 
Number of Bifurcations: 98 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminations : 
------------------------------------------------------------------- 
X          Y     Angle 
262 	  17 	 -0.79 
137 	  28 	 -2.36 
189 	  28 	 -0.52 
241 	  28 	 1.57 
144 	  29 	 0.79 
269 	  35 	 0.00 
175 	  53 	 3.14 
181 	  55 	 0.00 
265 	  68 	 -2.36 
 96 	  73 	 1.05 
274 	  75 	 0.00 
 85 	  83 	 -2.62 
 60 	  99 	 0.79 
 57 	 113 	 0.79 
 55 	 129 	 1.05 
277 	 132 	 -0.52 
135 	 157 	 -2.36 
 49 	 171 	 1.05 
 47 	 188 	 1.05 
163 	 188 	 -1.57 
 51 	 195 	 1.05 
144 	 196 	 -2.09 
 51 	 211 	 1.05 
 50 	 226 	 0.79 
 51 	 238 	 0.79 
 43 	 246 	 -2.62 
 49 	 262 	 0.79 
------------------------------------------------------------------- 
Bifurcations : 
------------------------------------------------------------------- 
X          Y     Angle 1     Angle 2    Angle 3 
180 	  11 	 -2.62 	 	 NaN 	 	 -0.52 
153 	  12 	 -2.62 	 	 NaN 	 	 0.00 
222 	  15 	 2.62 	 	 NaN 	 	 0.00 
 94 	  28 	 -2.36 	 	 1.57 	 	 0.52 
108 	  29 	 -2.36 	 	 1.57 	 	 0.00 
215 	  30 	 3.14 	 	 -1.57 	 	 0.79 
179 	  32 	 3.14 	 	 1.57 	 	 -0.52 
225 	  35 	 3.14 	 	 1.57 	 	 0.00 
208 	  37 	 2.36 	 	 -2.36 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
127 	  56 	 2.62 	 	 -2.09 	 	 0.00 
215 	  57 	 2.36 	 	 -2.09 	 	 0.00 
153 	  65 	 -2.62 	 	 1.05 	 	 -0.52 
235 	  65 	 -2.62 	 	 1.05 	 	 -0.52 
221 	  68 	 -2.36 	 	 2.09 	 	 -0.52 
177 	  71 	 2.62 	 	 -1.57 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
185 	  73 	 2.62 	 	 -2.09 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
183 	  79 	 3.14 	 	 1.57 	 	 -0.79 
250 	  79 	 2.62 	 	 -1.05 	 	 0.52 
235 	  80 	 -2.36 	 	 2.09 	 	 -0.52 
205 	  82 	 3.14 	 	 -1.05 	 	 0.79 
115 	  83 	 -2.62 	 	 0.79 	 	 -0.79 
230 	  85 	 2.36 	 	 -1.57 	 	 0.79 
260 	  85 	 3.14 	 	 -1.05 	 	 0.79 
 70 	  87 	 -2.36 	 	 0.79 	 	 -0.79 
170 	  88 	 3.14 	 	 0.79 	 	 -0.79 
 75 	  91 	 2.62 	 	 -2.09 	 	 0.52 
173 	  94 	 -2.62 	 	 1.57 	 	 -0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
 68 	 101 	 -2.36 	 	 1.05 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
