------------------------------------------------------------------- 
Name: 107 
Date: 2018-04-19 
Number of Terminations: 34 
Number of Bifurcations: 79 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminations : 
------------------------------------------------------------------- 
X          Y     Angle 
264 	  26 	 2.09 
211 	  35 	 -1.05 
NaN 	 NaN 	 NaN 
245 	  44 	 2.09 
170 	  48 	 -0.79 
245 	  57 	 2.09 
NaN 	 NaN 	 NaN 
236 	  71 	 -1.05 
NaN 	 NaN 	 NaN 
206 	  81 	 2.09 
146 	  88 	 3.14 
266 	  90 	 -1.05 
257 	  95 	 1.57 
109 	  96 	 -2.09 
267 	  96 	 1.05 
155 	 133 	 -1.57 
125 	 137 	 -2.09 
 62 	 138 	 1.57 
110 	 144 	 -1.57 
 41 	 145 	 2.09 
101 	 146 	 1.57 
135 	 152 	 -1.57 
156 	 162 	 -2.09 
154 	 174 	 0.52 
181 	 186 	 2.09 
158 	 188 	 -1.05 
164 	 188 	 -1.05 
 48 	 193 	 2.09 
NaN 	 NaN 	 NaN 
186 	 206 	 -1.57 
 47 	 208 	 1.05 
 73 	 225 	 0.79 
105 	 226 	 -1.57 
 40 	 233 	 3.14 
------------------------------------------------------------------- 
Bifurcations : 
------------------------------------------------------------------- 
X          Y     Angle 1     Angle 2    Angle 3 
NaN 	 NaN 	 NaN 	 	 NaN 	 	 0.00 
114 	  17 	 -2.62 	 	 NaN 	 	 0.00 
 89 	  20 	 -2.09 	 	 NaN 	 	 -0.52 
126 	  22 	 -2.62 	 	 NaN 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 NaN 	 	 0.00 
 85 	  25 	 3.14 	 	 -1.05 	 	 0.79 
 95 	  26 	 2.36 	 	 -2.36 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
204 	  33 	 2.36 	 	 0.79 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
213 	  41 	 3.14 	 	 1.05 	 	 -0.79 
 93 	  47 	 2.36 	 	 -2.09 	 	 0.00 
131 	  51 	 2.62 	 	 2.09 	 	 0.00 
233 	  53 	 -2.36 	 	 2.09 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
173 	  61 	 2.36 	 	 -2.09 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
177 	  66 	 3.14 	 	 1.05 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
113 	  74 	 3.14 	 	 -1.57 	 	 0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
106 	  80 	 -2.62 	 	 1.57 	 	 0.00 
137 	  89 	 3.14 	 	 1.57 	 	 0.52 
130 	  90 	 -2.62 	 	 1.57 	 	 0.52 
 92 	  91 	 -2.62 	 	 0.79 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
120 	  94 	 3.14 	 	 -1.57 	 	 0.52 
128 	 104 	 3.14 	 	 -1.57 	 	 0.52 
163 	 107 	 2.62 	 	 -1.05 	 	 -0.52 
122 	 109 	 -2.36 	 	 2.09 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
262 	 121 	 2.09 	 	 -1.05 	 	 0.00 
123 	 126 	 3.14 	 	 -2.09 	 	 1.05 
146 	 135 	 -2.62 	 	 1.57 	 	 0.00 
 70 	 136 	 -2.36 	 	 1.05 	 	 -1.05 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
171 	 144 	 2.36 	 	 -2.09 	 	 0.00 
260 	 149 	 2.62 	 	 -1.57 	 	 0.79 
177 	 151 	 3.14 	 	 1.05 	 	 -0.79 
141 	 152 	 2.09 	 	 -2.09 	 	 0.79 
163 	 155 	 3.14 	 	 1.05 	 	 -0.79 
 55 	 163 	 2.36 	 	 -1.57 	 	 0.79 
124 	 174 	 2.36 	 	 -1.57 	 	 0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
271 	 199 	 3.14 	 	 1.57 	 	 -1.05 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
100 	 202 	 -2.36 	 	 1.57 	 	 -0.79 
161 	 210 	 2.36 	 	 -1.05 	 	 0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
117 	 221 	 3.14 	 	 2.09 	 	 -1.05 
252 	 225 	 2.36 	 	 -1.05 	 	 0.79 
111 	 232 	 -2.62 	 	 1.57 	 	 -1.05 
 58 	 236 	 2.62 	 	 -1.57 	 	 0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
 95 	 236 	 -2.36 	 	 1.57 	 	 -0.52 
248 	 236 	 -2.36 	 	 2.09 	 	 -0.79 
242 	 242 	 2.36 	 	 0.79 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
252 	 251 	 2.62 	 	 -2.36 	 	 0.00 
 83 	 255 	 3.14 	 	 -1.05 	 	 0.79 
