------------------------------------------------------------------- 
Name: 24 
Date: 2018-04-13 
Number of Terminations: 36 
Number of Bifurcations: 73 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminations : 
------------------------------------------------------------------- 
X          Y     Angle 
NaN 	 NaN 	 NaN 
NaN 	 NaN 	 NaN 
259 	  35 	 -0.52 
177 	  43 	 0.00 
223 	  51 	 2.62 
161 	  56 	 3.14 
231 	  58 	 -0.79 
245 	  61 	 -1.05 
166 	  63 	 -0.52 
160 	  64 	 3.14 
NaN 	 NaN 	 NaN 
126 	  72 	 -2.62 
133 	  73 	 0.00 
 73 	  76 	 0.79 
144 	  78 	 3.14 
199 	  90 	 2.36 
 63 	  94 	 0.52 
 86 	  96 	 0.79 
124 	  96 	 0.79 
145 	  97 	 3.14 
208 	  97 	 -0.79 
 93 	 120 	 -2.62 
NaN 	 NaN 	 NaN 
126 	 124 	 -2.36 
 58 	 131 	 1.05 
NaN 	 NaN 	 NaN 
122 	 145 	 -2.09 
 54 	 147 	 1.05 
167 	 166 	 0.00 
 51 	 168 	 1.05 
NaN 	 NaN 	 NaN 
 54 	 204 	 1.05 
NaN 	 NaN 	 NaN 
159 	 233 	 -1.57 
231 	 276 	 1.57 
233 	 282 	 -0.52 
------------------------------------------------------------------- 
Bifurcations : 
------------------------------------------------------------------- 
X          Y     Angle 1     Angle 2    Angle 3 
122 	  15 	 -2.62 	 	 NaN 	 	 NaN 
NaN 	 NaN 	 NaN 	 	 0.00 	 	 NaN 
  0 	   0 	 NaN 	 	 NaN 	 	 0.00 
  0 	   0 	 0.00 	 	 NaN 	 	 NaN 
  0 	   0 	 0.00 	 	 0.00 	 	 111.00 
 20 	   3 	 -1.57 	 	 0.79 	 	 0.00 
220 	  21 	 2.36 	 	 -2.09 	 	 0.00 
  0 	 NaN 	 NaN 	 	 0.00 	 	 0.00 
  0 	   0 	 NaN 	 	 NaN 	 	 0.00 
  0 	   0 	 0.00 	 	 216.00 	 	 27.00 
  3 	   1 	 -0.79 	 	 0.00 	 	 194.00 
 30 	   3 	 1.05 	 	 -0.52 	 	 0.00 
112 	  34 	 -2.62 	 	 2.09 	 	 0.00 
  0 	 133 	 45.00 	 	 3.14 	 	 -2.09 
  0 	   0 	 101.00 	 	 46.00 	 	 -2.36 
  2 	   0 	 0.00 	 	 246.00 	 	 46.00 
  2 	   1 	 -0.79 	 	 0.00 	 	 170.00 
 48 	  -3 	 1.05 	 	 -0.52 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
  0 	 NaN 	 NaN 	 	 0.00 	 	 0.00 
  0 	   0 	 251.00 	 	 57.00 	 	 2.62 
 -1 	   1 	 0.00 	 	 210.00 	 	 63.00 
